timestamp,duration,root_cause_node,experiment_type
1730543045,3m,ts-basic-service-5958769c99-mj82d,memory-stress
1730543772,3m,ts-payment-service-6df559d8fd-4wzhd,CPU-contention
1730544503,3m,ts-payment-service-6df559d8fd-4wzhd,pod-network-delay
1730545234,3m,ts-payment-service-6df559d8fd-4wzhd,io-contention
1730545964,3m,ts-payment-service-6df559d8fd-4wzhd,pod-network-loss
1730546693,3m,ts-payment-service-6df559d8fd-4wzhd,memory-stress
1730547422,3m,ts-travel-service-d9d887cd9-cplqf,CPU-contention
1730548151,3m,ts-travel-service-d9d887cd9-cplqf,pod-network-delay
1730548881,3m,ts-travel-service-d9d887cd9-cplqf,io-contention
1730549606,3m,ts-travel-service-d9d887cd9-cplqf,pod-network-loss
1730550335,3m,ts-travel-service-d9d887cd9-cplqf,memory-stress
1730551063,3m,ts-travel2-service-749b4bf999-qhltz,CPU-contention
1730551793,3m,ts-travel2-service-749b4bf999-qhltz,pod-network-delay
1730552521,3m,ts-travel2-service-749b4bf999-qhltz,io-contention
1730553250,3m,ts-travel2-service-749b4bf999-qhltz,pod-network-loss
1730553978,3m,ts-travel2-service-749b4bf999-qhltz,memory-stress
1730554706,3m,ts-food-map-service-66c85b59b-brmrf,CPU-contention
1730555436,3m,ts-food-map-service-66c85b59b-brmrf,pod-network-delay
1730556166,3m,ts-food-map-service-66c85b59b-brmrf,io-contention
1730556896,3m,ts-food-map-service-66c85b59b-brmrf,pod-network-loss
1730557625,3m,ts-food-map-service-66c85b59b-brmrf,memory-stress
1730558355,3m,ts-route-service-5dd59946b-c4qxz,CPU-contention
1730559085,3m,ts-route-service-5dd59946b-c4qxz,pod-network-delay
1730559816,3m,ts-route-service-5dd59946b-c4qxz,io-contention
1730560543,3m,ts-route-service-5dd59946b-c4qxz,pod-network-loss
1730561272,3m,ts-route-service-5dd59946b-c4qxz,memory-stress
1730562001,3m,ts-preserve-service-56576b74bf-r682r,pod-network-delay
1730562729,3m,ts-preserve-service-56576b74bf-r682r,io-contention
1730563458,3m,ts-preserve-service-56576b74bf-r682r,memory-stress
1730564187,3m,ts-order-service-86b84f56b5-kcmcd,CPU-contention
1730564914,3m,ts-order-service-86b84f56b5-kcmcd,pod-network-delay
1730565646,3m,ts-order-service-86b84f56b5-kcmcd,io-contention
1730566374,3m,ts-order-service-86b84f56b5-kcmcd,pod-network-loss
1730567100,3m,ts-order-service-86b84f56b5-kcmcd,memory-stress
1730567830,3m,ts-station-service-588d557995-4qk9q,CPU-contention
1730568559,3m,ts-station-service-588d557995-4qk9q,pod-network-delay
1730569287,3m,ts-station-service-588d557995-4qk9q,io-contention
1730570015,3m,ts-station-service-588d557995-4qk9q,pod-network-loss
1730570742,3m,ts-station-service-588d557995-4qk9q,memory-stress
1730571470,3m,ts-contacts-service-6b9f8dcd78-m68rp,CPU-contention
1730572202,3m,ts-contacts-service-6b9f8dcd78-m68rp,pod-network-delay
1730572935,3m,ts-contacts-service-6b9f8dcd78-m68rp,io-contention
1730573666,3m,ts-contacts-service-6b9f8dcd78-m68rp,pod-network-loss
1730574394,3m,ts-contacts-service-6b9f8dcd78-m68rp,memory-stress
1730575124,3m,ts-basic-service-5958769c99-mj82d,CPU-contention
1730575853,3m,ts-basic-service-5958769c99-mj82d,pod-network-delay
1730576583,3m,ts-basic-service-5958769c99-mj82d,io-contention
1730577311,3m,ts-basic-service-5958769c99-mj82d,pod-network-loss
1730578039,3m,ts-basic-service-5958769c99-mj82d,memory-stress
1730578770,3m,ts-payment-service-6df559d8fd-4wzhd,CPU-contention
1730579498,3m,ts-payment-service-6df559d8fd-4wzhd,pod-network-delay
1730580230,3m,ts-payment-service-6df559d8fd-4wzhd,io-contention
1730580959,3m,ts-payment-service-6df559d8fd-4wzhd,pod-network-loss
1730581691,3m,ts-payment-service-6df559d8fd-4wzhd,memory-stress
1730582422,3m,ts-travel-service-d9d887cd9-cplqf,CPU-contention
1730583153,3m,ts-travel-service-d9d887cd9-cplqf,pod-network-delay
1730583880,3m,ts-travel-service-d9d887cd9-cplqf,io-contention
1730584607,3m,ts-travel-service-d9d887cd9-cplqf,pod-network-loss
1730585336,3m,ts-travel-service-d9d887cd9-cplqf,memory-stress
1730586066,3m,ts-travel2-service-749b4bf999-qhltz,CPU-contention
1730586795,3m,ts-travel2-service-749b4bf999-qhltz,pod-network-delay
1730587523,3m,ts-travel2-service-749b4bf999-qhltz,io-contention
1730588251,3m,ts-travel2-service-749b4bf999-qhltz,pod-network-loss
1730588978,3m,ts-travel2-service-749b4bf999-qhltz,memory-stress
1730589707,3m,ts-food-map-service-66c85b59b-brmrf,CPU-contention
1730590439,3m,ts-food-map-service-66c85b59b-brmrf,pod-network-delay
1730591169,3m,ts-food-map-service-66c85b59b-brmrf,io-contention
1730591897,3m,ts-food-map-service-66c85b59b-brmrf,pod-network-loss
1730592627,3m,ts-food-map-service-66c85b59b-brmrf,memory-stress
1730593353,3m,ts-route-service-5dd59946b-c4qxz,CPU-contention
1730594082,3m,ts-route-service-5dd59946b-c4qxz,pod-network-delay
1730594813,3m,ts-route-service-5dd59946b-c4qxz,io-contention
1730595544,3m,ts-route-service-5dd59946b-c4qxz,pod-network-loss
1730596272,3m,ts-route-service-5dd59946b-c4qxz,memory-stress
1730597000,3m,ts-preserve-service-56576b74bf-r682r,pod-network-delay
1730597729,3m,ts-preserve-service-56576b74bf-r682r,io-contention
1730598466,3m,ts-preserve-service-56576b74bf-r682r,memory-stress
1730599195,3m,ts-order-service-86b84f56b5-kcmcd,CPU-contention
1730599922,3m,ts-order-service-86b84f56b5-kcmcd,pod-network-delay
1730600651,3m,ts-order-service-86b84f56b5-kcmcd,io-contention
1730601380,3m,ts-order-service-86b84f56b5-kcmcd,pod-network-loss
1730602107,3m,ts-order-service-86b84f56b5-kcmcd,memory-stress
1730602836,3m,ts-station-service-588d557995-4qk9q,CPU-contention
1730603565,3m,ts-station-service-588d557995-4qk9q,pod-network-delay
1730604293,3m,ts-station-service-588d557995-4qk9q,io-contention
1730605022,3m,ts-station-service-588d557995-4qk9q,pod-network-loss
1730605750,3m,ts-station-service-588d557995-4qk9q,memory-stress
1730606480,3m,ts-contacts-service-6b9f8dcd78-m68rp,CPU-contention
1730607209,3m,ts-contacts-service-6b9f8dcd78-m68rp,pod-network-delay
1730607939,3m,ts-contacts-service-6b9f8dcd78-m68rp,io-contention
1730608668,3m,ts-contacts-service-6b9f8dcd78-m68rp,pod-network-loss
1730609395,3m,ts-contacts-service-6b9f8dcd78-m68rp,memory-stress
1730610123,3m,ts-basic-service-5958769c99-mj82d,CPU-contention
1730610851,3m,ts-basic-service-5958769c99-mj82d,pod-network-delay
1730611577,3m,ts-basic-service-5958769c99-mj82d,io-contention
1730612306,3m,ts-basic-service-5958769c99-mj82d,pod-network-loss
1730613034,3m,ts-basic-service-5958769c99-mj82d,memory-stress
1730613761,3m,ts-payment-service-6df559d8fd-4wzhd,CPU-contention
1730614490,3m,ts-payment-service-6df559d8fd-4wzhd,pod-network-delay
1730615219,3m,ts-payment-service-6df559d8fd-4wzhd,io-contention
1730615947,3m,ts-payment-service-6df559d8fd-4wzhd,pod-network-loss
1730616677,3m,ts-payment-service-6df559d8fd-4wzhd,memory-stress
1730617406,3m,ts-travel-service-d9d887cd9-cplqf,CPU-contention
1730618135,3m,ts-travel-service-d9d887cd9-cplqf,pod-network-delay
1730618864,3m,ts-travel-service-d9d887cd9-cplqf,io-contention
1730619593,3m,ts-travel-service-d9d887cd9-cplqf,pod-network-loss
1730620321,3m,ts-travel-service-d9d887cd9-cplqf,memory-stress
1730621049,3m,ts-travel2-service-749b4bf999-qhltz,CPU-contention
1730621780,3m,ts-travel2-service-749b4bf999-qhltz,pod-network-delay
1730622510,3m,ts-travel2-service-749b4bf999-qhltz,io-contention
1730623239,3m,ts-travel2-service-749b4bf999-qhltz,pod-network-loss
1730623967,3m,ts-travel2-service-749b4bf999-qhltz,memory-stress
1730624696,3m,ts-food-map-service-66c85b59b-brmrf,CPU-contention
1730625425,3m,ts-food-map-service-66c85b59b-brmrf,pod-network-delay
1730626155,3m,ts-food-map-service-66c85b59b-brmrf,io-contention
1730626886,3m,ts-food-map-service-66c85b59b-brmrf,pod-network-loss
1730627617,3m,ts-food-map-service-66c85b59b-brmrf,memory-stress
1730628348,3m,ts-route-service-5dd59946b-c4qxz,CPU-contention
1730629077,3m,ts-route-service-5dd59946b-c4qxz,pod-network-delay
1730629808,3m,ts-route-service-5dd59946b-c4qxz,io-contention
1730630535,3m,ts-route-service-5dd59946b-c4qxz,pod-network-loss
1730631264,3m,ts-route-service-5dd59946b-c4qxz,memory-stress
1730631993,3m,ts-preserve-service-56576b74bf-r682r,pod-network-delay
1730632721,3m,ts-preserve-service-56576b74bf-r682r,io-contention
1730633448,3m,ts-preserve-service-56576b74bf-r682r,memory-stress
